id,event_id,link,title,date,state,deaths,potential_death,false_alarm,description,deaths_binary,break,filename
0,2,https://web.archive.org/web/20150417085342/http://mp3.911dispatch.com.s3.amazonaws.com/detroit_911_1.mp3,Detroit Child’s 911 Call – audio,2/06,Michigan,1.0,1.0,0.0,"– In Feb. 2006 5 year-old Robert Turner called to say his mother was unconscious. However, dispatcher Sharon Nicols believed it was a prank call. Nicols and another dispatcher were later fired, and Nicols was charged with criminal neglect of duty. She was later convicted, but granted probation. Also isten to the second",1,13.0,911_first6sec/call_2_0.wav
1,8,https://web.archive.org/web/20150417085342/http://mp3.911dispatch.com.s3.amazonaws.com/hernlen_choufani_911.mp3,Girl’s Murder 911 Call,3/05,Florida,2.0,1.0,0.0,"– the 911 call of a lifetime. Volusia County (Fla.) dispatcher Donna Choufani talks to 5 year-old Tia Hernlen, who calmly reports her two parents shot to death. Also check this",1,3.0,911_first6sec/call_8_0.wav
2,9,https://web.archive.org/web/20150417085342/http://mp3.911dispatch.com.s3.amazonaws.com/watauga_911.mp3,‘Shoot Her?’ 911 call,4/05,Texas,0.0,0.0,1.0,"– caller reports her daughter is creating a disturbance at home, and the dispatcher makes an inappropriate comment",0,2.0,911_first6sec/call_9_0.wav
3,10,https://web.archive.org/web/20150417085342/http://mp3.911dispatch.com.s3.amazonaws.com/wamsley_to_douglascounty.mp3,Snowstorm 911 Call,1/05,Nebraska,2.0,1.0,0.0,– a couple under the influence of drugs dialed 911 after their truck ran into a snowdrift outside Omaha (Neb.) in Jan. 2005. Janelle Hornickel and Michael Wamsley were disoriented and couldn’t give their location. Their bodies were found days later in the snow.,1,0.0,911_first6sec/call_10_0.wav
4,11,https://web.archive.org/web/20150417085342/http://mp3.911dispatch.com.s3.amazonaws.com/call_for_date.mp3,911 Call for a Date,1/06,Oregon,0.0,0.0,1.0,– Lorna Jeanne Dudash in Aloha (Ore.) dialed 911 to ask for the name of a “cute” Washington County sheriff’s deputy she had just encountered. The deputy returned to her house and arrested her.,0,2.0,911_first6sec/call_11_0.wav
5,12,https://web.archive.org/web/20150417085342/http://www.fordarlieroutier.org/911Call/index.html,Murder 911 Call,6/96,Texas,2.0,1.0,0.0,"– In June 1996 two children were stabbed to death in their home in Rowlett (Tex.), and their mother Darlie Routier was later arrested for their murder. A jury later did not believe that an intruder killed the children and seriously injured Routier, and she was convicted. The case is now on appeal.",1,22.0,911_first6sec/call_12_0.wav
6,13,https://web.archive.org/web/20150417085342/http://mp3.911dispatch.com.s3.amazonaws.com/jonbenet_911.mp3,Jon Benet 911 Call,12/96,Colorado,1.0,1.0,0.0,"JonBenét Patricia Ramsey (August 6, 1990 – December 25 or 26, 1996)[1] was an American child beauty queen who was killed at the age of six in her family's home in Boulder, Colorado.",1,11.0,911_first6sec/call_13_0.wav
7,15,https://web.archive.org/web/20150417085342/http://mp3.911dispatch.com.s3.amazonaws.com/clark_wash_911_call.mp3,Murder 911 call – Wash.,1/07,Washington,2.0,1.0,0.0,– In Jan. 2007 a Vancouver (Wash.) man called to confess killing two persons with a knife. Dylon R. Peterson was arrested by arriving police.,1,10.0,911_first6sec/call_15_0.wav
8,16,https://web.archive.org/web/20150417085342/http://mp3.911dispatch.com.s3.amazonaws.com/clemson_murder_911.mp3,Murder 911 Call – SC,5/06,South Carolina,1.0,1.0,0.0,"– In May, 2006 a Clemson college student was found strangeled to death in her apartment, and a student calls to report finding her body.",1,9.0,911_first6sec/call_16_0.wav
9,17,https://web.archive.org/web/20150417085342/http://mp3.911dispatch.com.s3.amazonaws.com/abingdon_fire_911_1.mp3,Maryland fire 911,1/07,Maryland,5.0,1.0,0.0,"– In Jan. 2007 five residents in Abingdon (Md.) died in a house fire, reported by several 911 calls. There was some criticism that the Harford County comm center took several minutes to dispatch fire units, but officials said an uncertain address only delayed units by seconds.",1,3.0,911_first6sec/call_17_0.wav
