id,link,title,date,state,civilian_initiated,deaths,potential_death,false_alarm,description,file_name
1,https://web.archive.org/web/20150417085342/http://mp3.911dispatch.com.s3.amazonaws.com/northhollywood_radio.mp3,North Hollywood bank robbery,2/97,California,0,2,1,0,"– The unforgettable collection of radio logging tapes from the 1997 violent robbery of the Bank of America in Los Angeles. The radio traffic begins routinely, then an officer passing the bank notices the robbers and radios in “shots fired.” Then all breaks loose.",call_1.mp3
2,https://web.archive.org/web/20150417085342/http://mp3.911dispatch.com.s3.amazonaws.com/detroit_911_1.mp3,Detroit Child’s 911 Call – audio,2/06,Michigan,1,1,1,0,"– In Feb. 2006 5 year-old Robert Turner called to say his mother was unconscious. However, dispatcher Sharon Nicols believed it was a prank call. Nicols and another dispatcher were later fired, and Nicols was charged with criminal neglect of duty. She was later convicted, but granted probation. Also isten to the second",call_2.mp3
3,https://web.archive.org/web/20150417085342/http://www.msnbc.msn.com/id/8926416/,Sept. 11th Fire Tapes,9/01,,,,,,,
4,"https://web.archive.org/web/20150417085342/http://www.amny.com/news/local/groundzero/nyc-fdny-mp3,0,6956355.htmlstory",Sept. 11th Fire Tapes #2,9/01,,,,,,,
5,https://web.archive.org/web/20150417085342/http://www.archive.org/details/911_fdny_dispatches,Sept. 11th Tape Archive,9/01,,,,,,,
6,https://web.archive.org/web/20150417085342/http://www.911dispatch.com/info/wof.html,Wheel of Fortune!,,,,,,,– fun video clip from the quiz show,
7,https://web.archive.org/web/20150417085342/http://www.realwacky.com/,Wacky 911 CDs,,,,,,,,
8,https://web.archive.org/web/20150417085342/http://mp3.911dispatch.com.s3.amazonaws.com/hernlen_choufani_911.mp3,Girl’s Murder 911 Call,3/05,Florida,1,2,1,0,"– the 911 call of a lifetime. Volusia County (Fla.) dispatcher Donna Choufani talks to 5 year-old Tia Hernlen, who calmly reports her two parents shot to death. Also check this",call_8.mp3
9,https://web.archive.org/web/20150417085342/http://mp3.911dispatch.com.s3.amazonaws.com/watauga_911.mp3,‘Shoot Her?’ 911 call,4/05,Texas,1,0,0,1,"– caller reports her daughter is creating a disturbance at home, and the dispatcher makes an inappropriate comment",call_9.mp3
10,https://web.archive.org/web/20150417085342/http://mp3.911dispatch.com.s3.amazonaws.com/wamsley_to_douglascounty.mp3,Snowstorm 911 Call,1/05,Nebraska,1,2,1,0,– a couple under the influence of drugs dialed 911 after their truck ran into a snowdrift outside Omaha (Neb.) in Jan. 2005. Janelle Hornickel and Michael Wamsley were disoriented and couldn’t give their location. Their bodies were found days later in the snow.,call_10.mp3
