filename,features,resulted_in_deaths
911_first6sec/call_2_0.wav,"[-4.96040710e+02  1.36326614e+02 -3.88245506e+01 -2.95665216e+00
  1.23297396e+01 -2.60937824e+01 -7.77084208e+00 -5.26054335e+00
 -1.72038975e+01  2.05018878e+00 -2.89470196e+00 -1.10615263e+01
  5.88771486e+00 -1.85698068e+00 -1.01422415e+01  4.44683886e+00
 -5.98830044e-01 -7.50979996e+00  4.14472914e+00  3.41571355e+00
 -2.98606777e+00 -2.43944991e-02  9.83326495e-01  1.03788912e+00
  3.92182440e-01]",1
911_first6sec/call_8_0.wav,"[-5.42264832e+02  1.13492096e+02 -5.48984375e+01 -1.69354439e+01
  2.02332382e+01 -1.05308409e+01 -7.20225000e+00  3.72232056e+00
 -2.80929923e+00 -3.04082692e-01  1.93748415e-01 -4.04212761e+00
 -1.27791274e+00 -6.31310642e-01 -3.62221265e+00 -1.34518600e+00
  4.46797192e-01 -1.14601302e+00  2.19394827e+00  5.84538269e+00
  2.89460135e+00  2.73269963e+00  5.83073854e+00  1.11427343e+00
 -3.36717606e+00]",1
911_first6sec/call_9_0.wav,"[-469.10492     144.50131     -53.16923     -35.661564     28.405872
  -44.32607      -5.1644735     0.8867236   -27.257421     -3.0307577
   -6.004601    -11.18055     -13.0216875    11.783113    -20.393599
    2.5339432    -5.0377316    -7.915079     -7.678085     -1.8758092
   -9.597933     -6.6711845     0.64029485  -10.00649      -3.482913  ]",0
911_first6sec/call_10_0.wav,"[-4.6179211e+02  1.0200011e+02  4.2778754e+00 -3.2980382e+00
 -6.8060026e+00 -1.8624611e-01 -1.9112568e+01  1.7944933e-01
 -1.5558623e+01 -2.1825778e+00  4.0187826e+00 -5.3267345e+00
 -8.1603355e+00  2.4622838e+00 -8.2512665e+00  2.9811163e+00
 -1.7706069e+00 -2.8972356e+00 -3.9968250e+00  9.3416376e+00
 -1.3163557e+01  8.5822430e+00 -6.1982708e+00  6.0669131e+00
 -7.6841102e+00]",1
911_first6sec/call_11_0.wav,"[-388.4136     191.76454    -68.483246   -28.393341    29.404537
  -36.48968    -32.023487     7.85822    -22.785954   -23.84261
    6.518934   -17.911537   -28.330112     4.2458525   -3.6593163
  -24.453272    -6.9307942   -3.808305   -18.012308    -8.2142725
   -3.1192214  -12.43307     -6.620508    -2.4803696   -7.049988 ]",0
911_first6sec/call_12_0.wav,"[-366.63202     123.76255      -8.72758      -9.830455      2.8537188
   -1.9609938    -2.4900265     0.53403497   -7.8028755    -0.7043619
    4.737024      4.8476977    -1.3810315     4.2504306     0.9338244
   -3.699718     -5.315276      3.622258      1.097517      2.5147653
    1.8509799    -0.66675323   -8.317486     -3.6505754    -1.6095829 ]",1
911_first6sec/call_13_0.wav,"[-3.2894275e+02  1.7340771e+02 -1.2268930e+02 -2.2340197e+01
 -6.0319943e+00 -3.7321426e+01 -2.0804964e+01 -6.3055444e+00
 -1.7669790e+01 -2.0959523e+00 -2.8812881e+00 -1.7097532e+01
  2.2761586e+00 -3.7620595e-01 -4.9931531e+00  3.0627568e+00
  6.5100446e+00  9.3672442e-01  3.3771803e+00  3.9799378e+00
 -2.8838379e+00 -8.7950981e-01  1.2799650e-01 -2.2609220e+00
 -2.9019730e+00]",1
911_first6sec/call_15_0.wav,"[-3.8828110e+02  9.2171066e+01  9.1390508e-01 -1.4596169e+01
 -4.8590517e+00 -5.1894131e+00 -2.2157156e+01 -5.1157870e+00
 -1.3149164e+01 -6.8938851e+00 -5.3713574e+00 -9.2501745e+00
 -4.0909047e+00 -9.5700884e-01 -6.6943884e+00 -1.6226485e-02
 -1.9368858e+00 -6.1812267e+00 -2.9754398e+00  5.1709514e+00
 -1.0961567e+01  2.2494152e+00 -3.2583387e+00  1.1574382e+00
 -5.0351744e+00]",1
911_first6sec/call_16_0.wav,"[-5.0007239e+02  1.2141379e+02 -3.7134041e+01  1.3093014e+01
  2.0167509e+01 -1.3398668e+01 -5.6308136e+00  7.7990055e+00
 -1.6915382e+01  3.4176016e+00  6.7885232e+00 -6.3412137e+00
  2.1470320e+00  5.9193068e+00 -4.5596099e+00  5.4808531e+00
 -2.3838859e+00 -1.3710189e+00  3.0848854e+00 -2.0357277e+00
 -4.3365016e+00  4.5033684e+00 -4.2812457e+00 -2.4033402e-01
 -5.0540346e-01]",1
911_first6sec/call_17_0.wav,"[-335.36813     180.51752     -75.116455     -6.783136     19.812567
  -35.643875    -11.0749655    -8.025263    -23.892523     -1.0972646
   -1.0759774    -8.00474       0.65540636   -2.1406612    -1.0582192
    1.6233094    -3.9096177    -0.9749146     1.2584413    -1.3440431
    0.8819921     1.9747423     1.1243985     0.52349085   -0.40938637]",1
911_first6sec/call_18_0.wav,"[-4.0630365e+02  1.7165135e+02 -2.3042957e+01 -5.7725358e+00
  1.6342699e+01 -2.0672024e+01 -1.2550342e+01 -6.5814166e+00
 -1.5461802e+01  3.6402121e-01 -2.7202055e+00 -1.2798524e+01
  3.2134662e+00  5.7054269e-01 -1.0167482e+01  4.4296713e+00
  5.7736673e+00 -5.3554630e+00  2.7044783e+00  5.7290092e+00
 -3.4738469e+00 -8.5265857e-01  4.1475067e+00  1.2172115e-01
 -1.0423496e+00]",0
911_first6sec/call_19_0.wav,"[-4.1287857e+02  1.7599988e+02 -3.8893780e+01 -1.2867567e+01
  3.8676076e+00 -2.9231081e+01 -1.6135145e+01 -6.8079576e+00
 -1.7796925e+01 -1.1987264e+01 -1.3515499e+00 -9.7211914e+00
 -9.4396782e+00  5.1205099e-01 -6.7213473e+00 -5.7076874e+00
 -1.2151657e+00 -7.6391025e+00 -3.7610047e+00 -3.8722491e+00
 -9.2807140e+00 -5.6173077e+00 -5.0566282e+00 -4.0076694e+00
 -3.6862993e-01]",0
911_first6sec/call_20_0.wav,"[-5.5930676e+02  1.3493155e+02 -7.7981415e+01  1.6785315e+01
  2.4729195e+00 -4.5017490e+01  1.1056067e+01 -7.1107936e+00
 -2.2122261e+01  1.6068956e+01 -6.3674660e+00 -1.5583126e+01
  9.2836275e+00 -4.5006289e+00 -9.6621990e+00  5.4477510e+00
  2.1819718e+00 -4.5797095e+00 -9.8501816e-02  3.7367301e+00
 -2.4641736e+00 -8.1305039e-01  1.0512170e+01  2.2844172e+00
 -5.3711424e+00]",0
911_first6sec/call_21_0.wav,"[-4.5888174e+02  7.2406693e+01 -7.4836586e+01  1.9974520e+00
 -1.2949296e+01 -3.9278404e+01 -2.7603220e+01 -2.6572641e+01
 -7.8085551e+00 -1.9214830e+01 -1.0888773e+01 -3.9645052e+00
 -1.8748524e+01  7.3276243e+00 -1.4193989e+01 -9.4292355e+00
  4.0787852e-01 -1.1003363e+01  3.9695704e-01 -5.2553005e+00
 -1.1337927e+01  7.1462774e+00 -1.0756665e+01  1.0663841e+00
 -2.5807028e+00]",0
911_first6sec/call_27_0.wav,"[-4.47124756e+02  1.26954796e+02 -7.95811081e+01  8.70584297e+00
  2.25359573e+01 -3.47086143e+01  4.36185312e+00  2.20070219e+00
 -1.83482208e+01  1.05632648e+01 -3.38027835e+00 -1.36073971e+01
  1.06382999e+01 -3.99999094e+00 -9.02432537e+00  7.77580070e+00
 -4.62707043e+00 -3.37433767e+00  5.26545382e+00 -8.39809132e+00
 -2.02922225e+00  4.68351078e+00 -7.13731289e+00  1.97000623e-01
  3.15574384e+00]",0
911_first6sec/call_28_0.wav,"[-546.4249     106.62312    -10.639399     6.0783944    4.184192
  -26.347763   -21.261806   -27.628565   -32.568226   -16.364044
  -15.577213   -12.600874     1.7741731    4.1907663    7.5631123
   11.757292     6.8091784    5.6615777    3.6968637   -2.683451
   -3.8713033   -5.504955    -7.6860356   -6.196042    -6.008772 ]",0
911_first6sec/call_30_0.wav,"[-5.0284442e+02  1.5934912e+02 -6.4397446e+01 -6.5399325e-01
  2.0814312e+01 -3.6481354e+01 -9.5235186e+00 -3.3510563e+00
 -2.1424763e+01  4.3584275e+00 -3.2013140e-03 -1.1766090e+01
  8.5216322e+00 -4.6709925e-01 -9.8203192e+00  6.3518820e+00
 -2.0410984e+00 -8.8260050e+00  4.0841746e+00 -9.9948710e-01
 -6.7960496e+00 -9.6044970e-01 -1.5089302e+00  5.3480935e-01
  2.3455818e+00]",1
911_first6sec/call_31_0.wav,"[-335.25943     153.01338     -48.61757      18.677286     24.171183
  -13.2151785     1.5800525    10.010394     -5.8905134     2.4830356
    6.2024164     1.1393038    -3.313774     14.023449     -6.2106605
    1.9243037    10.291914     -2.7308412     8.237941     11.902902
   -0.93189186   13.27147       4.374535      2.0788312     6.3009048 ]",1
911_first6sec/call_32_0.wav,"[-3.4169577e+02  1.7038264e+02 -4.6742912e+01 -3.5811002e+00
 -4.8093977e+00 -3.1243641e+00 -1.5437205e+01  1.0904441e+00
 -1.2686969e+01 -3.3367183e-02 -1.2109123e+00 -1.0605037e+00
 -2.0890608e+00  1.0078656e+01 -1.9315470e+00  3.8316355e+00
  3.3963673e+00  3.3021384e-01 -6.2458172e+00  1.7495931e+00
 -3.6608359e-01 -2.7547948e+00 -3.0174446e+00 -2.7092522e-01
 -1.5594598e+00]",1
911_first6sec/call_33_0.wav,"[-3.0063882e+02  7.4868828e+01 -1.9564159e+01 -1.6235489e+01
 -4.5147598e-02 -2.9963953e+00 -2.8876593e+01 -3.3819077e+00
 -4.6616974e+00 -7.3179293e+00  9.3182583e+00 -1.3211206e+01
  6.9388657e+00 -7.2047257e-01 -7.1871266e+00 -2.0357912e+00
  1.3190953e+00 -4.8955054e+00 -6.8223152e+00  9.9734955e+00
 -1.4264591e+01  7.3256721e+00 -6.4889641e+00  4.1276741e+00
 -8.4102869e+00]",0
911_first6sec/call_34_0.wav,"[-5.1910577e+02  1.4968259e+02 -7.9588211e+01 -1.3463328e+01
  1.4657645e+01 -2.7055849e+01  1.3019040e+00  4.8095416e-02
 -1.3232750e+01  7.9541116e+00 -3.4346275e+00 -1.0988142e+01
  3.7909126e+00 -7.1552944e+00 -9.2258749e+00  4.2998857e+00
 -9.9068284e-01 -6.8185997e-01  1.0051107e+01  7.1795850e+00
  1.6490252e-01  9.6445936e-01  3.4390545e+00  7.6556730e-01
 -1.6170766e+00]",0
